pre,post,synapse_type,weight
RICR,RMFL,chemical,1
RICR,RMGL,chemical,1
RICR,SMBDR,chemical,3
RICR,SMDDL,chemical,9
RICR,SMDDR,chemical,9
RICR,SMDVL,chemical,6
RICR,SMDVR,chemical,3
RICR,URBR,chemical,2
RICR,VB1,chemical,7
RID,AS11,chemical,1
RID,DA2,chemical,1
RID,DA6,chemical,2
RID,DB1,chemical,1
RID,DD1,chemical,3
RID,DD2,chemical,2
RID,DD3,chemical,2
RID,FLPL,chemical,1
RID,MDL13,chemical,1
RID,MDL14,chemical,1
RID,MDR10,chemical,1
RID,RMED,chemical,5
RID,VD13,chemical,2
RID,VD5,chemical,1
RID,hyp,chemical,2
RIFL,ALML,chemical,5
RIFL,AVBL,chemical,26
RIFL,AVBR,chemical,1
RIFL,AVHR,chemical,1
RIFL,AVJR,chemical,8
RIFL,MDL05,chemical,2
RIFL,PVPL,chemical,8
RIFL,RIML,chemical,7
RIFR,ADLR,chemical,1
RIFR,AIZL,chemical,1
RIFR,ASHR,chemical,6
RIFR,AVBL,chemical,1
RIFR,AVBR,chemical,35
RIFR,AVFL,chemical,1
RIFR,AVJL,chemical,2
RIFR,AVJR,chemical,2
RIFR,AWBR,chemical,2
RIFR,CEPVR,chemical,2
RIFR,HSNL,chemical,2
RIFR,HSNR,chemical,3
RIFR,PVCL,chemical,1
RIFR,PVCR,chemical,1
RIFR,PVPR,chemical,6
RIFR,RIAR,chemical,1
RIFR,RIFL,chemical,1
RIFR,RIMR,chemical,10
RIFR,RIPR,chemical,2
RIFR,URXR,chemical,3
RIGL,ADFL,chemical,1
RIGL,ADLL,chemical,2
RIGL,AIBR,chemical,4
RIGL,AIZL,chemical,10
RIGL,AIZR,chemical,2
RIGL,ALNL,chemical,6
RIGL,AVEL,chemical,7
RIGL,AVER,chemical,1
RIGL,AVKR,chemical,17
RIGL,BAGR,chemical,3
RIGL,DVA,chemical,1
RIGL,OLQVL,chemical,2
RIGL,PVPL,chemical,2
RIGL,RIBL,chemical,3
RIGL,RIH,chemical,2
RIGL,RIR,chemical,8
RIGL,RMGL,chemical,6
RIGL,RMHR,chemical,23
RIGL,URXL,chemical,6
RIGR,AFDR,chemical,1
RIGR,AIBL,chemical,2
RIGR,AIZR,chemical,5
RIGR,ALNR,chemical,3
RIGR,AVDL,chemical,1
RIGR,AVER,chemical,4
RIGR,AVKL,chemical,21
RIGR,AVKR,chemical,5
RIGR,BAGL,chemical,2
RIGR,DVA,chemical,4
RIGR,DVC,chemical,2
RIGR,OLQVR,chemical,2
RIGR,PVT,chemical,5
RIGR,RIAR,chemical,3
RIGR,RIBR,chemical,2
RIGR,RIR,chemical,5
RIGR,RMHL,chemical,17
RIGR,URXR,chemical,3
RIGR,URYVR,chemical,2
RIH,ADFR,chemical,3
RIH,AIYL,chemical,3
RIH,AIYR,chemical,4
RIH,AIZL,chemical,12
RIH,AIZR,chemical,19
RIH,AUAR,chemical,2
RIH,BAGL,chemical,2
RIH,BAGR,chemical,5
RIH,CEPDL,chemical,6
RIH,CEPVL,chemical,3
RIH,CEPVR,chemical,6
RIH,CEPshVR,chemical,5
RIH,IL2L,chemical,2
RIH,IL2R,chemical,3
RIH,IL2VL,chemical,4
RIH,IL2VR,chemical,5
RIH,OLQDL,chemical,11
RIH,OLQDR,chemical,7
RIH,OLQVL,chemical,13
RIH,OLQVR,chemical,7
RIH,RIAL,chemical,34
RIH,RIAR,chemical,36
RIH,RIBL,chemical,18
RIH,RIBR,chemical,15
RIH,RIPL,chemical,18
RIH,RIPR,chemical,7
RIH,RMER,chemical,6
RIH,RMEV,chemical,10
RIH,URAVR,chemical,1
RIH,URYVR,chemical,4
RIML,AIBL,chemical,1
RIML,AIBR,chemical,22
RIML,AVAL,chemical,5
RIML,AVAR,chemical,2
RIML,AVBL,chemical,9
RIML,AVBR,chemical,11
RIML,AVER,chemical,5
RIML,AVKR,chemical,1
RIML,MDR05,chemical,6
RIML,MVR04,chemical,2
RIML,RIAL,chemical,3
RIML,RIBL,chemical,9
RIML,RICR,chemical,1
RIML,RIML,chemical,11
RIML,RIMR,chemical,2
RIML,RMDL,chemical,9
RIML,RMDR,chemical,21
RIML,RMFL,chemical,2
RIML,RMFR,chemical,2
RIML,SAADL,chemical,1
RIML,SAADR,chemical,4
RIML,SAAVL,chemical,10
RIML,SAAVR,chemical,10
RIML,SMDDL,chemical,11
RIML,SMDDR,chemical,14
RIML,SMDVL,chemical,11
RIML,VB1,chemical,8
RIMR,ADAR,chemical,9
RIMR,AIBL,chemical,15
RIMR,AVAL,chemical,9
RIMR,AVBL,chemical,9
RIMR,AVBR,chemical,12
RIMR,AVJL,chemical,4
RIMR,AVKL,chemical,1
RIMR,MDL05,chemical,15
RIMR,MVL04,chemical,5
RIMR,RIBR,chemical,4
RIMR,RIML,chemical,4
RIMR,RIS,chemical,2
RIMR,RMDL,chemical,15
RIMR,RMDR,chemical,12
RIMR,RMFL,chemical,1
RIMR,RMFR,chemical,7
RIMR,SAAVL,chemical,11
RIMR,SAAVR,chemical,8
RIMR,SMDDL,chemical,9
RIMR,SMDDR,chemical,14
RIMR,SMDVL,chemical,2
RIMR,SMDVR,chemical,3
RIMR,VB1,chemical,2
RIPL,ADFL,chemical,3
RIPL,BAGL,chemical,7
RIPL,OLLL,chemical,4
RIPL,OLQDR,chemical,2
RIPL,OLQVL,chemical,1
RIPL,RIH,chemical,2
RIPL,RIPL,chemical,3
RIPL,hyp,chemical,3
RIPL,mc2DL,chemical,2
RIPL,pm3VL,chemical,4
RIPR,ADFR,chemical,1
RIPR,AVBR,chemical,2
RIPR,BAGR,chemical,2
RIPR,IL1R,chemical,1
RIPR,OLQDR,chemical,3
RIPR,OLQVR,chemical,2
RIPR,RIH,chemical,1
RIPR,URAVR,chemical,1
RIPR,URBR,chemical,1
RIPR,hyp,chemical,4
RIPR,mc2DR,chemical,1
RIPR,pm3VR,chemical,6
RIR,ADAR,chemical,1
RIR,ADFL,chemical,1
RIR,ADFR,chemical,4
RIR,AFDR,chemical,1
RIR,AIMR,chemical,1
RIR,AIZL,chemical,12
RIR,AIZR,chemical,15
RIR,AQR,chemical,2
RIR,ASHL,chemical,1
RIR,ASHR,chemical,1
RIR,AUAL,chemical,7
RIR,AVEL,chemical,4
RIR,AWBR,chemical,1
RIR,BAGR,chemical,1
RIR,DVA,chemical,9
RIR,HSNL,chemical,1
RIR,PVPL,chemical,2
RIR,PVPR,chemical,1
RIR,RIAL,chemical,11
RIR,RIAR,chemical,4
RIR,RIGL,chemical,2
RIR,RIGR,chemical,4
RIR,RMGL,chemical,1
RIR,RMGR,chemical,1
RIR,URXL,chemical,9
RIR,URXR,chemical,6
RIS,AVEL,chemical,17
RIS,AVER,chemical,18
RIS,AVKL,chemical,6
RIS,AVKR,chemical,13
RIS,AVL,chemical,9
RIS,CEPDL,chemical,4
RIS,CEPDR,chemical,1
RIS,CEPVL,chemical,7
RIS,CEPVR,chemical,4
RIS,OLLR,chemical,5
RIS,RIBL,chemical,8
RIS,RIBR,chemical,18
RIS,RIML,chemical,10
RIS,RIMR,chemical,15
RIS,RIS,chemical,3
RIS,RMDDL,chemical,1
RIS,RMDDR,chemical,1
RIS,RMDL,chemical,10
RIS,RMDR,chemical,16
RIS,RMEV,chemical,3
RIS,SMDDL,chemical,1
RIS,SMDDR,chemical,6
RIS,SMDVL,chemical,1
RIS,SMDVR,chemical,1
RIS,URYDR,chemical,1
RIS,URYVR,chemical,5
RIVL,MVR05,chemical,6
RIVL,MVR06,chemical,3
RIVL,MVR07,chemical,18
RIVL,RIAL,chemical,5
RIVL,RIAR,chemical,2
RIVL,RIVR,chemical,1
RIVL,RMDL,chemical,4
RIVL,RMDVL,chemical,5
RIVL,SAADR,chemical,11
RIVL,SIAVR,chemical,5
RIVL,SMDDR,chemical,8
RIVL,SMDVL,chemical,2
RIVR,GLRVL,chemical,14
RIVR,GLRVR,chemical,8
RIVR,MDR07,chemical,1
RIVR,MVL03,chemical,2
RIVR,MVL04,chemical,1
RIVR,MVL07,chemical,9
RIVR,MVR06,chemical,8
RIVR,MVR07,chemical,14
RIVR,RIAL,chemical,6
RIVR,RIAR,chemical,2
RIVR,RIVL,chemical,8
RIVR,RMDDL,chemical,1
RIVR,RMDR,chemical,4
RIVR,RMDVR,chemical,1
RIVR,RMHR,chemical,2
RIVR,SAADL,chemical,12
RIVR,SIAVL,chemical,5
RIVR,SMBVL,chemical,1
RIVR,SMDDL,chemical,6
RIVR,SMDVR,chemical,3
RMDDL,AVER,chemical,1
RMDDL,CEPVL,chemical,2
RMDDL,IL1DR,chemical,2
RMDDL,IL1R,chemical,9
RMDDL,MDR01,chemical,8
RMDDL,MDR02,chemical,4
RMDDL,MDR03,chemical,8
RMDDL,MDR04,chemical,12
RMDDL,MDR05,chemical,13
RMDDL,MDR06,chemical,2
RMDDL,MVL01,chemical,1
RMDDL,RIAL,chemical,1
RMDDL,RMDVL,chemical,1
RMDDL,RMDVR,chemical,22
RMDDL,RMEV,chemical,2
RMDDL,RMHL,chemical,1
RMDDR,MDL01,chemical,2
RMDDR,MDL02,chemical,12
RMDDR,MDL03,chemical,1
RMDDR,MDL04,chemical,17
RMDDR,MDL06,chemical,3
RMDDR,MDR01,chemical,3
RMDDR,MDR02,chemical,7
RMDDR,MDR06,chemical,3
RMDDR,MDR07,chemical,3
RMDDR,MVL01,chemical,2
RMDDR,RMDDL,chemical,1
RMDDR,RMDVL,chemical,26
RMDDR,RMDVR,chemical,3
RMDL,ADER,chemical,3
RMDL,AVKR,chemical,1
RMDL,IL1L,chemical,1
RMDL,IL1R,chemical,1
RMDL,MDL03,chemical,1
RMDL,MDL05,chemical,2
RMDL,MDR03,chemical,4
RMDL,MDR04,chemical,6
RMDL,MVL01,chemical,4
RMDL,MVR04,chemical,8
RMDL,MVR08,chemical,1
RMDL,OLLR,chemical,3
RMDL,RIAL,chemical,20
RMDL,RIAR,chemical,22
RMDL,RIBR,chemical,1
RMDL,RIML,chemical,3
RMDL,RIS,chemical,1
RMDL,RIVL,chemical,1
RMDL,RMDDR,chemical,7
RMDL,RMDR,chemical,8
RMDL,RMDVL,chemical,2
RMDL,RMDVR,chemical,3
RMDL,RMFR,chemical,1
RMDL,RMHL,chemical,3
RMDL,SIBVR,chemical,3
RMDL,SMBVR,chemical,2
RMDL,SMDDR,chemical,1
RMDL,URXR,chemical,1
RMDR,AVKR,chemical,1
RMDR,IL1L,chemical,2
RMDR,MDL05,chemical,2
RMDR,MVL04,chemical,2
RMDR,MVL05,chemical,2
RMDR,OLLR,chemical,2
RMDR,RIAL,chemical,14
RMDR,RIAR,chemical,21
RMDR,RIMR,chemical,1
RMDR,RIS,chemical,1
RMDR,RMDDL,chemical,6
RMDR,RMDL,chemical,11
RMDR,RMDVL,chemical,9
RMDR,RMGL,chemical,1
RMDR,SIAVL,chemical,1
RMDR,SMDDR,chemical,1
RMDVL,AVER,chemical,2
RMDVL,CEPDL,chemical,2
RMDVL,IL1R,chemical,2
RMDVL,IL2VR,chemical,1
RMDVL,MVR02,chemical,20
RMDVL,MVR03,chemical,11
RMDVL,MVR04,chemical,31
RMDVL,MVR06,chemical,18
RMDVL,MVR07,chemical,3
RMDVL,OLQVR,chemical,3
RMDVL,RMDDR,chemical,41
RMDVL,RMDR,chemical,2
RMDVL,RMDVR,chemical,1
RMDVL,SIAVR,chemical,2
RMDVL,SIBDR,chemical,1
RMDVL,URYVR,chemical,1
RMDVR,AVAR,chemical,1
RMDVR,CEPDR,chemical,2
RMDVR,GLRVL,chemical,1
RMDVR,IL1DR,chemical,1
RMDVR,IL1L,chemical,1
RMDVR,MDL03,chemical,5
RMDVR,MVL01,chemical,21
RMDVR,MVL02,chemical,15
RMDVR,MVL03,chemical,8
RMDVR,MVL04,chemical,19
RMDVR,MVL05,chemical,8
RMDVR,MVL06,chemical,5
RMDVR,MVL07,chemical,2
RMDVR,MVR03,chemical,2
RMDVR,MVR06,chemical,2
RMDVR,MVR07,chemical,2
RMDVR,OLQVL,chemical,2
RMDVR,RIAR,chemical,1
RMDVR,RMDDL,chemical,43
RMDVR,RMDVR,chemical,2
RMDVR,SIAVL,chemical,2
RMDVR,SIBVR,chemical,1
RMDVR,SMBDR,chemical,1
RMDVR,URAVL,chemical,8
RMED,MVL02,chemical,15
RMED,MVL03,chemical,10
RMED,MVR02,chemical,25
RMED,MVR03,chemical,26
RMED,MVR06,chemical,2
RMED,RIBL,chemical,1
RMED,RIBR,chemical,1
RMED,RMED,chemical,1
RMED,SMDDL,chemical,1
RMED,SMDDR,chemical,4
RMEL,GLRR,chemical,2
RMEL,IL1R,chemical,2
RMEL,MDR03,chemical,22
RMEL,MDR05,chemical,7
RMEL,MVR04,chemical,9
RMEL,OLLR,chemical,1
RMEL,RIPR,chemical,1
RMEL,RMEV,chemical,1
RMER,IL1L,chemical,4
RMER,MDL03,chemical,45
RMER,MDL04,chemical,4
RMER,MVL01,chemical,14
RMER,MVL04,chemical,7
RMER,RMER,chemical,5
RMER,RMHR,chemical,3
RMEV,MDL01,chemical,1
RMEV,MDL02,chemical,5
RMEV,MDR01,chemical,9
RMEV,MDR02,chemical,5
RMEV,MDR06,chemical,5
RMEV,MDR07,chemical,4
RMEV,RIBR,chemical,2
RMEV,RIH,chemical,2
RMEV,RIS,chemical,1
RMEV,RMDDL,chemical,1
RMEV,RMDDR,chemical,1
RMEV,RMED,chemical,1
RMEV,SMDDR,chemical,1
RMEV,SMDVL,chemical,1
RMFL,AVKL,chemical,9
RMFL,AVKR,chemical,14
RMFL,BAGL,chemical,1
RMFL,DVC,chemical,1
RMFL,PVT,chemical,3
RMFL,RIBR,chemical,1
RMFL,RIMR,chemical,2
RMFL,RIS,chemical,1
RMFL,RMDR,chemical,13
RMFL,RMHL,chemical,2
RMFL,SAAVR,chemical,1
RMFL,SMDVL,chemical,1
RMFR,AVKL,chemical,7
RMFR,AVKR,chemical,9
RMFR,DVC,chemical,2
RMFR,RIH,chemical,1
RMFR,RMDL,chemical,6
RMFR,RMDR,chemical,1
RMGL,ADAL,chemical,4
RMGL,ADLL,chemical,1
RMGL,AIBR,chemical,2
RMGL,AIML,chemical,3
RMGL,ASHL,chemical,1
RMGL,AVAL,chemical,3
RMGL,AVBR,chemical,3
RMGL,AVEL,chemical,2
RMGL,AVFR,chemical,1
RMGL,CEPDL,chemical,1
RMGL,MDL04,chemical,7
RMGL,MDL05,chemical,1
RMGL,MVL05,chemical,2
RMGL,PVPL,chemical,1
RMGL,RID,chemical,2
RMGL,RIFL,chemical,1
RMGL,RMDDR,chemical,1
RMGL,RMDL,chemical,2
RMGL,RMDR,chemical,16
RMGL,RMDVL,chemical,15
RMGL,RMHL,chemical,1
RMGL,RMHR,chemical,4
RMGL,SAADL,chemical,1
RMGL,SIADL,chemical,2
RMGL,SIADR,chemical,2
RMGL,SIAVL,chemical,4
RMGL,SIBDR,chemical,1
RMGL,SIBVL,chemical,4
RMGL,SIBVR,chemical,4
RMGL,SMBVL,chemical,2
RMGL,SMDDL,chemical,1
RMGL,SMDDR,chemical,2
RMGL,URXL,chemical,3
RMGR,ADAR,chemical,2
RMGR,ADER,chemical,2
RMGR,AIMR,chemical,2
RMGR,ALMR,chemical,1
RMGR,ALNR,chemical,4
RMGR,ASHR,chemical,1
RMGR,AVAL,chemical,1
RMGR,AVBL,chemical,2
RMGR,AVBR,chemical,3
RMGR,AVDL,chemical,2
RMGR,AVER,chemical,6
RMGR,AVJL,chemical,4
RMGR,IL2R,chemical,2
RMGR,MDR05,chemical,3
RMGR,MVR08,chemical,2
RMGR,OLLR,chemical,1
RMGR,RIGR,chemical,2
RMGR,RIR,chemical,1
RMGR,RMDDL,chemical,1
RMGR,RMDL,chemical,20
RMGR,RMDR,chemical,7
RMGR,RMDVR,chemical,23
RMGR,SAADL,chemical,3
RMGR,SAAVR,chemical,1
RMGR,SIADL,chemical,1
RMGR,SIAVR,chemical,2
RMGR,SIBDL,chemical,2
RMGR,SMBVR,chemical,1
RMGR,URXR,chemical,3
RMHL,AVAR,chemical,1
RMHL,IL1R,chemical,2
RMHL,MDR03,chemical,7
RMHL,MDR04,chemical,2
RMHL,MDR05,chemical,2
RMHL,RICL,chemical,1
RMHL,RICR,chemical,1
RMHL,RID,chemical,1
RMHL,RMDDL,chemical,2
RMHL,RMDR,chemical,1
RMHL,SAAVL,chemical,1
RMHL,URXR,chemical,1
RMHR,AIBR,chemical,3
RMHR,CEPVL,chemical,1
RMHR,MDL03,chemical,1
RMHR,MDL04,chemical,7
RMHR,MDL05,chemical,8
RMHR,MVL01,chemical,3
RMHR,RMDL,chemical,4
RMHR,RMDR,chemical,1
RMHR,RMER,chemical,4
RMHR,RMGL,chemical,8
RMHR,RMHL,chemical,3
RMHR,SMDDL,chemical,3
SAADL,AIBL,chemical,1
SAADL,AVAL,chemical,17
SAADL,MDR03,chemical,7
SAADL,MDR04,chemical,3
SAADL,MDR06,chemical,2
SAADL,OLLR,chemical,4
SAADL,RIGL,chemical,1
SAADL,RIML,chemical,11
SAADL,RIMR,chemical,16
SAADL,RIVR,chemical,1
SAADL,RMDVR,chemical,1
SAADL,RMFR,chemical,1
SAADL,SABD,chemical,2
SAADL,SIBVR,chemical,1
SAADL,hyp,chemical,2
SAADR,AIBL,chemical,1
SAADR,AIBR,chemical,1
SAADR,AVAL,chemical,1
SAADR,AVAR,chemical,26
SAADR,MDL03,chemical,7
SAADR,MDL04,chemical,3
SAADR,MDL06,chemical,2
SAADR,OLLL,chemical,3
SAADR,PLNR,chemical,1
SAADR,RIML,chemical,14
SAADR,RIMR,chemical,23
SAADR,RMFL,chemical,5
SAADR,RMFR,chemical,1
SAADR,RMGL,chemical,1
SAADR,SABD,chemical,2
SAADR,SMBDR,chemical,2
SAADR,SMBVR,chemical,1
SAADR,SMDVL,chemical,5
SAADR,hyp,chemical,2
SAAVL,AIBL,chemical,1
SAAVL,AVAL,chemical,56
SAAVL,MVL09,chemical,1
SAAVL,MVR03,chemical,7
SAAVL,MVR04,chemical,3
SAAVL,MVR06,chemical,2
SAAVL,OLLR,chemical,1
SAAVL,RIML,chemical,5
SAAVL,RIMR,chemical,33
SAAVL,RMFR,chemical,11
SAAVL,SABD,chemical,1
SAAVL,SMBDR,chemical,2
SAAVL,SMDDR,chemical,18
SAAVL,SMDVL,chemical,1
SAAVL,hyp,chemical,2
SAAVR,AIBR,chemical,1
SAAVR,ALNR,chemical,1
SAAVR,ASIR,chemical,1
SAAVR,AVAR,chemical,39
SAAVR,AVBL,chemical,1
SAAVR,IL1DL,chemical,12
SAAVR,MVL03,chemical,7
SAAVR,MVL04,chemical,3
SAAVR,MVL06,chemical,2
SAAVR,RIAR,chemical,1
SAAVR,RIML,chemical,12
SAAVR,RIMR,chemical,7
SAAVR,RIPL,chemical,12
SAAVR,RMEV,chemical,1
SAAVR,SAAVR,chemical,1
SAAVR,SMBDL,chemical,1
SAAVR,SMDDL,chemical,17
SAAVR,hyp,chemical,2
SABD,MDL01,chemical,15
SABD,MDL03,chemical,67
SABD,MDL04,chemical,63
SABD,MDL06,chemical,20
SABD,MDR01,chemical,15
SABD,MDR03,chemical,67
SABD,MDR04,chemical,63
SABD,MDR06,chemical,20
SABD,SAADL,chemical,4
SABD,SAADR,chemical,4
SABD,hyp,chemical,142
SABVL,MVL01,chemical,15
SABVL,MVL03,chemical,67
SABVL,MVL04,chemical,63
SABVL,MVL06,chemical,20
SABVL,RIGR,chemical,1
SABVL,hyp,chemical,71
SABVR,MVR01,chemical,15
SABVR,MVR03,chemical,67
SABVR,MVR04,chemical,63
SABVR,MVR06,chemical,20
SABVR,hyp,chemical,71
SDQL,AIBR,chemical,2
SDQL,ALML,chemical,1
SDQL,AVAL,chemical,6
SDQL,AVAR,chemical,8
SDQL,AVBL,chemical,1
SDQL,AVBR,chemical,2
SDQL,AVDL,chemical,3
SDQL,AVEL,chemical,1
SDQL,DVA,chemical,1
SDQL,FLPL,chemical,2
SDQL,PVCL,chemical,1
SDQL,PVR,chemical,1
SDQL,RICR,chemical,3
SDQL,RIPR,chemical,1
SDQL,RIS,chemical,8
SDQL,RMFL,chemical,3
SDQL,SAADR,chemical,2
SDQL,SIADR,chemical,2
SDQL,SIBVL,chemical,1
SDQL,SMBDR,chemical,11
SDQR,ADLL,chemical,1
SDQR,AIBL,chemical,8
SDQR,ALML,chemical,1
SDQR,AVAL,chemical,8
SDQR,AVBL,chemical,23
SDQR,AVBR,chemical,19
SDQR,DVA,chemical,10
SDQR,MVR07,chemical,1
SDQR,RICL,chemical,1
SDQR,RICR,chemical,3
SDQR,RMHL,chemical,15
SDQR,RMHR,chemical,7
SDQR,SDQL,chemical,4
SDQR,SIADL,chemical,2
SIADL,ALNR,chemical,4
SIADL,AVFR,chemical,1
SIADL,MDR05,chemical,8
SIADL,MDR06,chemical,3
SIADL,MDR07,chemical,8
SIADL,MDR08,chemical,12
SIADL,MDR09,chemical,8
SIADL,MDR10,chemical,8
SIADL,MDR11,chemical,8
SIADL,MDR12,chemical,8
SIADL,MDR13,chemical,8
SIADL,MDR14,chemical,8
SIADL,MDR15,chemical,8
SIADL,MDR16,chemical,3
SIADL,RMDL,chemical,4
SIADL,SDQR,chemical,4
SIADL,SIBDL,chemical,4
SIADL,SMBDL,chemical,18
SIADL,SMDDL,chemical,17
SIADR,ALML,chemical,1
SIADR,AVAL,chemical,1
SIADR,CEPDL,chemical,1
SIADR,IL1VR,chemical,1
SIADR,MDL05,chemical,8
SIADR,MDL06,chemical,3
SIADR,MDL07,chemical,8
SIADR,MDL08,chemical,12
SIADR,MDL09,chemical,8
SIADR,MDL10,chemical,8
SIADR,MDL11,chemical,8
SIADR,MDL12,chemical,8
SIADR,MDL13,chemical,8
SIADR,MDL14,chemical,8
SIADR,MDL15,chemical,8
SIADR,MDL16,chemical,3
SIADR,SDQL,chemical,4
SIADR,SIBDR,chemical,4
SIADR,SMBDR,chemical,17
SIADR,SMDDR,chemical,17
SIAVL,ADEL,chemical,1
SIAVL,IL2L,chemical,1
SIAVL,MVL05,chemical,4
SIAVL,MVL06,chemical,1
SIAVL,MVL07,chemical,4
SIAVL,MVL08,chemical,5
SIAVL,MVL09,chemical,4
SIAVL,MVL10,chemical,4
SIAVL,MVL11,chemical,4
SIAVL,MVL12,chemical,4
SIAVL,MVL13,chemical,4
SIAVL,MVL14,chemical,4
SIAVL,MVL15,chemical,4
SIAVL,MVL16,chemical,1
SIAVL,PLNL,chemical,10
SIAVL,SIBVR,chemical,2
SIAVL,SMBVL,chemical,2
SIAVL,SMDVR,chemical,10
SIAVR,MVR05,chemical,4
SIAVR,MVR06,chemical,1
SIAVR,MVR07,chemical,4
SIAVR,MVR08,chemical,5
SIAVR,MVR09,chemical,4
SIAVR,MVR10,chemical,4
SIAVR,MVR11,chemical,4
SIAVR,MVR12,chemical,4
SIAVR,MVR13,chemical,4
SIAVR,MVR14,chemical,4
SIAVR,MVR15,chemical,4
SIAVR,MVR16,chemical,1
SIAVR,PLNR,chemical,10
SIAVR,RMDL,chemical,1
SIAVR,SIBVL,chemical,2
SIBDL,MDR05,chemical,3
SIBDL,MDR06,chemical,1
SIBDL,MDR07,chemical,3
SIBDL,MDR08,chemical,4
SIBDL,MDR09,chemical,3
SIBDL,MDR10,chemical,3
SIBDL,MDR11,chemical,3
SIBDL,MDR12,chemical,3
SIBDL,MDR13,chemical,3
SIBDL,MDR14,chemical,3
SIBDL,MDR15,chemical,3
SIBDL,MDR16,chemical,1
SIBDL,SIADL,chemical,2
SIBDR,MDL05,chemical,3
SIBDR,MDL06,chemical,1
SIBDR,MDL07,chemical,3
SIBDR,MDL08,chemical,4
SIBDR,MDL09,chemical,3
SIBDR,MDL10,chemical,3
SIBDR,MDL11,chemical,3
SIBDR,MDL12,chemical,3
SIBDR,MDL13,chemical,3
SIBDR,MDL14,chemical,3
SIBDR,MDL15,chemical,3
SIBDR,MDL16,chemical,1
SIBDR,MDR04,chemical,1
SIBDR,SIADR,chemical,2
SIBDR,SMDDR,chemical,10
SIBVL,ALNR,chemical,1
SIBVL,MVL02,chemical,1
SIBVL,MVR05,chemical,10
SIBVL,MVR06,chemical,3
SIBVL,MVR07,chemical,10
SIBVL,MVR08,chemical,13
SIBVL,MVR09,chemical,10
SIBVL,MVR10,chemical,10
SIBVL,MVR11,chemical,10
SIBVL,MVR12,chemical,10
SIBVL,MVR13,chemical,10
SIBVL,MVR14,chemical,10
SIBVL,MVR15,chemical,10
SIBVL,MVR16,chemical,4
SIBVL,PVPL,chemical,1
SIBVL,SIAVR,chemical,5
SIBVL,SMBDR,chemical,1
SIBVR,AVDR,chemical,1
SIBVR,MDR04,chemical,1
SIBVR,MVL05,chemical,10
SIBVR,MVL06,chemical,3
SIBVR,MVL07,chemical,10
SIBVR,MVL08,chemical,13
SIBVR,MVL09,chemical,10
SIBVR,MVL10,chemical,10
SIBVR,MVL11,chemical,10
SIBVR,MVL12,chemical,10
SIBVR,MVL13,chemical,10
SIBVR,MVL14,chemical,10
SIBVR,MVL15,chemical,10
SIBVR,MVL16,chemical,4
SIBVR,RID,chemical,1
SIBVR,SIAVL,chemical,5
SMBDL,AIZL,chemical,1
SMBDL,ALNR,chemical,1
SMBDL,MDR01,chemical,4
SMBDL,MDR02,chemical,11
SMBDL,MDR03,chemical,6
SMBDL,MDR04,chemical,9
SMBDL,MDR05,chemical,9
SMBDL,MDR06,chemical,10
SMBDL,MDR07,chemical,9
SMBDL,MDR08,chemical,12
SMBDL,MDR09,chemical,9
SMBDL,MDR10,chemical,9
SMBDL,MDR11,chemical,9
SMBDL,MDR12,chemical,9
SMBDL,MDR13,chemical,9
SMBDL,MDR14,chemical,9
SMBDL,MDR15,chemical,9
SMBDL,MDR16,chemical,3
SMBDL,RIH,chemical,2
SMBDL,RMED,chemical,4
SMBDL,SAAVR,chemical,9
SMBDL,SDQR,chemical,18
SMBDL,SIADL,chemical,19
SMBDL,SIAVL,chemical,3
SMBDL,SMBVL,chemical,2
SMBDL,SMDDL,chemical,7
SMBDR,ALNL,chemical,5
SMBDR,AVAL,chemical,1
SMBDR,MDL01,chemical,5
SMBDR,MDL02,chemical,11
SMBDR,MDL04,chemical,3
SMBDR,MDL05,chemical,20
SMBDR,MDL06,chemical,7
SMBDR,MDL07,chemical,9
SMBDR,MDL08,chemical,12
SMBDR,MDL09,chemical,9
SMBDR,MDL10,chemical,9
SMBDR,MDL11,chemical,9
SMBDR,MDL12,chemical,9
SMBDR,MDL13,chemical,9
SMBDR,MDL14,chemical,9
SMBDR,MDL15,chemical,9
SMBDR,MDL16,chemical,3
SMBDR,MDR01,chemical,3
SMBDR,MDR02,chemical,3
SMBDR,MDR07,chemical,9
SMBDR,RIVL,chemical,1
SMBDR,RMED,chemical,25
SMBDR,SAAVL,chemical,8
SMBDR,SDQL,chemical,18
SMBDR,SIADR,chemical,20
SMBDR,SIAVR,chemical,1
SMBDR,SMBDL,chemical,3
SMBDR,SMDDR,chemical,4
SMBVL,AIML,chemical,1
SMBVL,AVBR,chemical,1
SMBVL,AVFL,chemical,1
SMBVL,AVHR,chemical,1
SMBVL,AVJR,chemical,1
SMBVL,MVL01,chemical,3
SMBVL,MVL02,chemical,8
SMBVL,MVL03,chemical,5
SMBVL,MVL04,chemical,6
SMBVL,MVL05,chemical,5
SMBVL,MVL06,chemical,17
SMBVL,MVL07,chemical,9
SMBVL,MVL08,chemical,2
SMBVL,MVL09,chemical,2
SMBVL,MVL10,chemical,2
SMBVL,MVL11,chemical,2
SMBVL,MVL12,chemical,2
SMBVL,MVL13,chemical,2
SMBVL,MVL14,chemical,2
SMBVL,MVL15,chemical,2
SMBVL,MVL16,chemical,1
SMBVL,PLNL,chemical,5
