id,category,category_source,source_labels
AVJR,neuron,wormatlas_cook_2019_via_cect,AVJR
AVKL,neuron,wormatlas_cook_2019_via_cect,AVKL
AVKR,neuron,wormatlas_cook_2019_via_cect,AVKR
AVL,neuron,wormatlas_cook_2019_via_cect,AVL
AVM,neuron,wormatlas_cook_2019_via_cect,AVM
AWAL,neuron,wormatlas_cook_2019_via_cect,AWAL
AWAR,neuron,wormatlas_cook_2019_via_cect,AWAR
AWBL,neuron,wormatlas_cook_2019_via_cect,AWBL
AWBR,neuron,wormatlas_cook_2019_via_cect,AWBR
AWCL,neuron,wormatlas_cook_2019_via_cect,AWCL
AWCR,neuron,wormatlas_cook_2019_via_cect,AWCR
BAGL,neuron,wormatlas_cook_2019_via_cect,BAGL
BAGR,neuron,wormatlas_cook_2019_via_cect,BAGR
BDUL,neuron,wormatlas_cook_2019_via_cect,BDUL
BDUR,neuron,wormatlas_cook_2019_via_cect,BDUR
CANR,neuron,wormatlas_cook_2019_via_cect,CANR
CEPDL,neuron,wormatlas_cook_2019_via_cect,CEPDL
CEPDR,neuron,wormatlas_cook_2019_via_cect,CEPDR
CEPVL,neuron,wormatlas_cook_2019_via_cect,CEPVL
CEPVR,neuron,wormatlas_cook_2019_via_cect,CEPVR
CEPshDL,glia,wormatlas_cook_2019_via_cect,CEPshDL
CEPshDR,glia,wormatlas_cook_2019_via_cect,CEPshDR
CEPshVL,glia,wormatlas_cook_2019_via_cect,CEPshVL
CEPshVR,glia,wormatlas_cook_2019_via_cect,CEPshVR
DVA,neuron,wormatlas_cook_2019_via_cect,DVA
DVC,neuron,wormatlas_cook_2019_via_cect,DVC
FLPL,neuron,wormatlas_cook_2019_via_cect,FLPL
FLPR,neuron,wormatlas_cook_2019_via_cect,FLPR
GLRDL,other,wormatlas_cook_2019_via_cect,GLRDL
GLRDR,other,wormatlas_cook_2019_via_cect,GLRDR
GLRL,other,wormatlas_cook_2019_via_cect,GLRL
GLRR,other,wormatlas_cook_2019_via_cect,GLRR
GLRVR,other,wormatlas_cook_2019_via_cect,GLRVR
HSNL,neuron,wormatlas_cook_2019_via_cect,HSNL
HSNR,neuron,wormatlas_cook_2019_via_cect,HSNR
IL1DL,neuron,wormatlas_cook_2019_via_cect,IL1DL
IL1DR,neuron,wormatlas_cook_2019_via_cect,IL1DR
IL1L,neuron,wormatlas_cook_2019_via_cect,IL1L
IL1R,neuron,wormatlas_cook_2019_via_cect,IL1R
IL1VL,neuron,wormatlas_cook_2019_via_cect,IL1VL
IL1VR,neuron,wormatlas_cook_2019_via_cect,IL1VR
IL2DL,neuron,wormatlas_cook_2019_via_cect,IL2DL
IL2DR,neuron,wormatlas_cook_2019_via_cect,IL2DR
IL2L,neuron,wormatlas_cook_2019_via_cect,IL2L
IL2R,neuron,wormatlas_cook_2019_via_cect,IL2R
IL2VL,neuron,wormatlas_cook_2019_via_cect,IL2VL
IL2VR,neuron,wormatlas_cook_2019_via_cect,IL2VR
MDL01,muscle,wormatlas_cook_2019_via_cect,BWM-DL01
MDL02,muscle,wormatlas_cook_2019_via_cect,BWM-DL02
MDL03,muscle,wormatlas_cook_2019_via_cect,BWM-DL03
MDL04,muscle,wormatlas_cook_2019_via_cect,BWM-DL04
MDL05,muscle,wormatlas_cook_2019_via_cect,BWM-DL05
MDL06,muscle,wormatlas_cook_2019_via_cect,BWM-DL06
MDL07,muscle,wormatlas_cook_2019_via_cect,BWM-DL07
MDL08,muscle,wormatlas_cook_2019_via_cect,BWM-DL08
MDR01,muscle,wormatlas_cook_2019_via_cect,BWM-DR01
MDR02,muscle,wormatlas_cook_2019_via_cect,BWM-DR02
MDR03,muscle,wormatlas_cook_2019_via_cect,BWM-DR03
MDR04,muscle,wormatlas_cook_2019_via_cect,BWM-DR04
MDR05,muscle,wormatlas_cook_2019_via_cect,BWM-DR05
MDR06,muscle,wormatlas_cook_2019_via_cect,BWM-DR06
MDR07,muscle,wormatlas_cook_2019_via_cect,BWM-DR07
MDR08,muscle,wormatlas_cook_2019_via_cect,BWM-DR08
MVL01,muscle,wormatlas_cook_2019_via_cect,BWM-VL01
MVL02,muscle,wormatlas_cook_2019_via_cect,BWM-VL02
MVL03,muscle,wormatlas_cook_2019_via_cect,BWM-VL03
MVL04,muscle,wormatlas_cook_2019_via_cect,BWM-VL04
MVL05,muscle,wormatlas_cook_2019_via_cect,BWM-VL05
MVL06,muscle,wormatlas_cook_2019_via_cect,BWM-VL06
MVL07,muscle,wormatlas_cook_2019_via_cect,BWM-VL07
MVL08,muscle,wormatlas_cook_2019_via_cect,BWM-VL08
MVR01,muscle,wormatlas_cook_2019_via_cect,BWM-VR01
MVR02,muscle,wormatlas_cook_2019_via_cect,BWM-VR02
MVR03,muscle,wormatlas_cook_2019_via_cect,BWM-VR03
MVR04,muscle,wormatlas_cook_2019_via_cect,BWM-VR04
MVR05,muscle,wormatlas_cook_2019_via_cect,BWM-VR05
MVR06,muscle,wormatlas_cook_2019_via_cect,BWM-VR06
MVR07,muscle,wormatlas_cook_2019_via_cect,BWM-VR07
MVR08,muscle,wormatlas_cook_2019_via_cect,BWM-VR08
OLLL,neuron,wormatlas_cook_2019_via_cect,OLLL
OLLR,neuron,wormatlas_cook_2019_via_cect,OLLR
OLQDL,neuron,wormatlas_cook_2019_via_cect,OLQDL
OLQDR,neuron,wormatlas_cook_2019_via_cect,OLQDR
OLQVL,neuron,wormatlas_cook_2019_via_cect,OLQVL
OLQVR,neuron,wormatlas_cook_2019_via_cect,OLQVR
PLNL,neuron,wormatlas_cook_2019_via_cect,PLNL
PLNR,neuron,wormatlas_cook_2019_via_cect,PLNR
PVCL,neuron,wormatlas_cook_2019_via_cect,PVCL
PVCR,neuron,wormatlas_cook_2019_via_cect,PVCR
PVNL,neuron,wormatlas_cook_2019_via_cect,PVNL
PVNR,neuron,wormatlas_cook_2019_via_cect,PVNR
PVPL,neuron,wormatlas_cook_2019_via_cect,PVPL
PVPR,neuron,wormatlas_cook_2019_via_cect,PVPR
PVQL,neuron,wormatlas_cook_2019_via_cect,PVQL
PVQR,neuron,wormatlas_cook_2019_via_cect,PVQR
PVR,neuron,wormatlas_cook_2019_via_cect,PVR
PVT,neuron,wormatlas_cook_2019_via_cect,PVT
RIAL,neuron,wormatlas_cook_2019_via_cect,RIAL
RIAR,neuron,wormatlas_cook_2019_via_cect,RIAR
RIBL,neuron,wormatlas_cook_2019_via_cect,RIBL
RIBR,neuron,wormatlas_cook_2019_via_cect,RIBR
RICL,neuron,wormatlas_cook_2019_via_cect,RICL
RICR,neuron,wormatlas_cook_2019_via_cect,RICR
RID,neuron,wormatlas_cook_2019_via_cect,RID
RIFL,neuron,wormatlas_cook_2019_via_cect,RIFL
RIFR,neuron,wormatlas_cook_2019_via_cect,RIFR
RIGL,neuron,wormatlas_cook_2019_via_cect,RIGL
RIGR,neuron,wormatlas_cook_2019_via_cect,RIGR
RIH,neuron,wormatlas_cook_2019_via_cect,RIH
RIML,neuron,wormatlas_cook_2019_via_cect,RIML
RIMR,neuron,wormatlas_cook_2019_via_cect,RIMR
RIPL,neuron,wormatlas_cook_2019_via_cect,RIPL
RIPR,neuron,wormatlas_cook_2019_via_cect,RIPR
RIR,neuron,wormatlas_cook_2019_via_cect,RIR
RIS,neuron,wormatlas_cook_2019_via_cect,RIS
RIVL,neuron,wormatlas_cook_2019_via_cect,RIVL
RIVR,neuron,wormatlas_cook_2019_via_cect,RIVR
RMDDL,neuron,wormatlas_cook_2019_via_cect,RMDDL
RMDDR,neuron,wormatlas_cook_2019_via_cect,RMDDR
RMDL,neuron,wormatlas_cook_2019_via_cect,RMDL
RMDR,neuron,wormatlas_cook_2019_via_cect,RMDR
RMDVL,neuron,wormatlas_cook_2019_via_cect,RMDVL
RMDVR,neuron,wormatlas_cook_2019_via_cect,RMDVR
RMED,neuron,wormatlas_cook_2019_via_cect,RMED
RMEL,neuron,wormatlas_cook_2019_via_cect,RMEL
RMER,neuron,wormatlas_cook_2019_via_cect,RMER
RMEV,neuron,wormatlas_cook_2019_via_cect,RMEV
RMFL,neuron,wormatlas_cook_2019_via_cect,RMFL
RMFR,neuron,wormatlas_cook_2019_via_cect,RMFR
RMGL,neuron,wormatlas_cook_2019_via_cect,RMGL
RMGR,neuron,wormatlas_cook_2019_via_cect,RMGR
RMHL,neuron,wormatlas_cook_2019_via_cect,RMHL
RMHR,neuron,wormatlas_cook_2019_via_cect,RMHR
SAADL,neuron,wormatlas_cook_2019_via_cect,SAADL
SAADR,neuron,wormatlas_cook_2019_via_cect,SAADR
SAAVL,neuron,wormatlas_cook_2019_via_cect,SAAVL
SAAVR,neuron,wormatlas_cook_2019_via_cect,SAAVR
SDQL,neuron,wormatlas_cook_2019_via_cect,SDQL
SDQR,neuron,wormatlas_cook_2019_via_cect,SDQR
SIADL,neuron,wormatlas_cook_2019_via_cect,SIADL
SIADR,neuron,wormatlas_cook_2019_via_cect,SIADR
SIAVL,neuron,wormatlas_cook_2019_via_cect,SIAVL
SIAVR,neuron,wormatlas_cook_2019_via_cect,SIAVR
SIBDL,neuron,wormatlas_cook_2019_via_cect,SIBDL
SIBDR,neuron,wormatlas_cook_2019_via_cect,SIBDR
SIBVL,neuron,wormatlas_cook_2019_via_cect,SIBVL
SIBVR,neuron,wormatlas_cook_2019_via_cect,SIBVR
SMBDL,neuron,wormatlas_cook_2019_via_cect,SMBDL
SMBDR,neuron,wormatlas_cook_2019_via_cect,SMBDR
SMBVL,neuron,wormatlas_cook_2019_via_cect,SMBVL
SMBVR,neuron,wormatlas_cook_2019_via_cect,SMBVR
SMDDL,neuron,wormatlas_cook_2019_via_cect,SMDDL
SMDDR,neuron,wormatlas_cook_2019_via_cect,SMDDR
SMDVL,neuron,wormatlas_cook_2019_via_cect,SMDVL
SMDVR,neuron,wormatlas_cook_2019_via_cect,SMDVR
URADL,neuron,wormatlas_cook_2019_via_cect,URADL
URADR,neuron,wormatlas_cook_2019_via_cect,URADR
URAVL,neuron,wormatlas_cook_2019_via_cect,URAVL
URAVR,neuron,wormatlas_cook_2019_via_cect,URAVR
URBL,neuron,wormatlas_cook_2019_via_cect,URBL
URBR,neuron,wormatlas_cook_2019_via_cect,URBR
URXL,neuron,wormatlas_cook_2019_via_cect,URXL
URXR,neuron,wormatlas_cook_2019_via_cect,URXR
URYDL,neuron,wormatlas_cook_2019_via_cect,URYDL
URYDR,neuron,wormatlas_cook_2019_via_cect,URYDR
URYVL,neuron,wormatlas_cook_2019_via_cect,URYVL
URYVR,neuron,wormatlas_cook_2019_via_cect,URYVR
